Academic_Program_Name,Year,min_opening_rank,max_closing_rank
0,2016,4,8624
0,2017,3,9473
0,2018,5,12257
0,2019,2,17178
0,2020,14,18402
0,2021,12,24256
0,2022,26,22278
0,2023,8,22719
0,2024,35,23887
1,2016,3,8648
1,2017,3,10082
1,2018,8,13215
1,2019,3,18454
1,2020,10,20354
1,2021,32,25309
1,2022,31,23754
1,2023,60,24403
1,2024,18,25172
2,2016,1,6219
2,2017,1,6687
2,2018,1,7936
2,2019,1,11262
2,2020,1,10814
2,2021,1,10572
2,2022,1,8990
2,2023,1,11200
2,2024,1,12108
3,2016,338,2250
3,2017,362,2514
3,2018,288,5260
3,2019,262,5939
3,2020,503,6495
3,2021,542,6518
4,2016,104,7732
4,2017,49,8864
4,2018,109,11942
4,2019,94,15975
4,2020,282,15810
4,2021,144,20546
4,2022,169,18446
4,2023,439,18102
4,2024,514,19770
5,2016,38,1251
5,2017,23,1703
5,2018,6,2556
5,2019,8,9096
5,2020,9,10986
5,2021,11,11348
5,2022,6,10810
5,2023,13,14564
5,2024,3,14105
6,2016,174,4353
6,2017,116,4605
6,2018,365,8413
6,2019,319,9247
6,2020,382,11404
6,2021,505,13222
6,2022,515,12679
6,2023,597,12236
6,2024,537,11912
7,2016,843,4714
7,2017,129,4245
7,2018,314,7258
8,2016,91,5437
8,2017,96,5417
8,2018,216,8385
8,2019,473,9903
8,2020,848,11844
8,2021,424,10978
8,2022,120,13070
8,2023,725,13369
8,2024,496,15493
9,2016,1,8033
9,2017,14,8853
9,2018,41,13701
9,2019,42,19786
9,2020,44,19385
9,2021,88,24990
9,2022,44,22779
9,2023,142,24066
9,2024,64,21996
10,2016,1,8389
10,2017,1,8830
10,2018,5,11092
10,2019,4,14762
10,2020,9,15578
10,2021,10,18056
10,2022,12,16411
10,2023,19,15977
10,2024,14,18177
11,2016,34,4033
11,2017,136,3821
11,2018,252,6104
11,2019,548,8592
11,2020,629,10984
11,2021,166,11246
11,2022,719,12031
11,2023,207,12507
11,2024,503,3953
12,2016,15,3497
12,2017,11,3451
12,2018,20,5714
12,2019,29,7615
12,2020,68,9767
12,2021,7,10468
12,2022,164,10155
12,2023,49,9120
12,2024,44,11444
13,2016,320,8727
13,2017,233,8601
13,2018,444,12806
13,2019,1145,15909
13,2020,2046,17511
14,2016,29,4128
14,2017,684,4493
14,2018,313,7126
14,2019,472,8478
14,2020,627,10541
15,2016,1362,8142
15,2017,1375,8567
15,2018,522,11727
15,2019,597,17190
15,2020,798,17239
15,2021,2051,22192
15,2022,1473,22114
15,2023,1233,21572
16,2016,542,7295
16,2017,40,8237
16,2018,449,11349
16,2019,556,15617
16,2020,1857,17221
16,2021,796,19197
16,2022,1982,18771
16,2023,1025,23095
17,2016,602,6554
17,2017,177,6653
17,2018,257,11096
17,2019,670,15293
17,2020,974,16636
17,2021,933,20283
17,2022,1049,21755
17,2023,1307,20126
18,2016,6,477
18,2017,36,1657
18,2018,14,2506
18,2019,40,4250
18,2020,17,4493
18,2021,82,5510
18,2022,47,4314
18,2023,44,5557
18,2024,78,6186
19,2016,32,8482
19,2017,49,9149
19,2018,188,12913
19,2019,479,19843
19,2020,719,19373
19,2021,702,24638
19,2022,48,23213
19,2023,594,23287
19,2024,629,24442
20,2016,49,6084
20,2017,110,6604
20,2018,571,11122
20,2019,568,13639
20,2020,874,13398
20,2021,810,18751
20,2022,969,19659
20,2023,1226,18584
20,2024,193,19077
21,2016,2,514
21,2017,86,471
21,2018,30,1332
22,2016,590,6312
22,2017,17,6881
22,2018,567,10608
