Institute,Gender,Year,Academic_Program_Name,Closing_Rank,Opening_Rank,Seat,Disability
0,0,2016,0,651,583,2,0
1,0,2016,1,21,21,1,1
1,0,2016,2,60,1,0,0
1,0,2016,3,848,338,3,0
1,0,2016,4,2971,1657,0,0
2,0,2016,0,1286,903,3,0
3,0,2016,5,266,101,1,0
3,0,2016,6,906,577,3,0
0,0,2016,1,1178,663,3,0
0,0,2016,0,1900,1581,1,0
1,0,2016,2,44,8,1,0
1,0,2016,2,1,1,1,1
1,0,2016,3,2250,1374,0,0
3,0,2016,7,2535,2028,1,0
3,0,2016,8,885,803,2,0
3,0,2016,9,708,394,3,0
3,0,2016,10,226,63,1,0
3,0,2016,0,434,255,1,0
4,0,2016,11,430,430,2,0
4,0,2016,12,865,725,3,0
4,0,2016,9,118,118,0,1
4,0,2016,9,900,534,3,0
4,0,2016,1,3788,2728,0,0
4,0,2016,13,3585,2684,1,0
4,0,2016,14,1787,1045,3,0
4,0,2016,10,170,61,2,0
0,0,2016,15,8142,6078,0,0
0,0,2016,2,58,58,0,1
1,0,2016,0,371,104,1,0
2,0,2016,10,502,433,2,0
0,0,2016,16,2529,2000,1,0
3,0,2016,2,62,33,1,0
0,0,2016,2,2783,1497,0,0
3,0,2016,5,187,110,3,0
0,0,2016,17,1337,1263,3,0
3,0,2016,18,6,6,0,1
0,0,2016,19,1405,1177,3,0
3,0,2016,0,107,51,2,0
1,0,2016,9,75,51,0,1
5,0,2016,1,6561,4626,0,0
1,0,2016,9,572,257,3,0
5,0,2016,1,354,342,2,0
1,0,2016,20,4880,3323,0,0
5,0,2016,10,3577,1730,0,0
1,0,2016,20,2596,1753,1,0
5,0,2016,10,59,59,1,1
1,0,2016,21,328,175,1,0
4,0,2016,12,3497,2864,0,0
1,0,2016,21,2,2,1,1
4,0,2016,22,6312,4321,0,0
1,0,2016,3,1524,890,1,0
4,0,2016,23,3763,2604,1,0
1,0,2016,0,117,29,2,0
0,0,2016,1,2487,1941,1,0
4,0,2016,2,149,48,1,0
